Date,Futures_Price,USD_Spot_Price,USD_INR,Spot_INR_oz,Spot_INR_10g,Basis,RF,F_theoretical,Arbitrage,Cash_Carry,Reverse_Carry,Spot_Return,Futures_Return,RollingVol
2020-09-02,50577,1942.98,73.269,142360.20162,45769.83349783786,4807.1665021621375,0.0010000000149011613,45848.901701792616,4728.098298207384,True,False,-0.010436000044116774,-0.008661983012672271,0.016990405227243308
2020-09-03,50768,1930.85,73.391,141707.01235,45559.82842766891,5208.171572331092,0.0010000000149011613,45638.53384411821,5129.46615588179,True,False,-0.004598844140318426,0.0037693073390659515,0.016902465071639384
2020-09-04,50728,1932.85,73.291,141660.50934999998,45544.87737714404,5183.122622855961,0.001030000001192093,45623.66946191593,5104.330538084068,True,False,-0.000328216869304616,-0.0007882084431092935,0.016857210912419384
2020-09-08,51433,1931.26,73.75,142430.425,45792.41082193322,5640.589178066781,0.001080000028014183,45871.819650599675,5561.180349400325,True,False,0.005420218963988635,0.013801963400874155,0.01637920177167669
2020-09-09,51486,1946.66,73.31,142709.6446,45882.181940939125,5603.818059060875,0.0010499999672174453,45961.633111689254,5524.366888310746,True,False,0.0019584738801534333,0.0010299362544343306,0.016259135577656982
2020-09-10,51832,1954.07,73.44,143506.9008,46138.505570112684,5693.494429887316,0.001030000001192093,46218.32462444947,5613.675375550527,True,False,0.005571014497910771,0.006697793094617315,0.016249480217750883
2020-09-11,51393,1941.5,73.44,142583.76,45841.709132412754,5551.290867587246,0.001030000001192093,45921.014732516574,5471.985267483426,True,False,-0.006453506740213442,-0.00850574273122502,0.016252744825258566
2020-09-14,51759,1956.37,73.385,143568.21245,46158.217708617995,5600.7822913820055,0.0010000000149011613,46237.9568532261,5521.043146773904,True,False,0.006880653839368728,0.007096353651405377,0.016225280146613646
2020-09-15,51818,1955.52,73.61,143945.8272,46279.62357933994,5538.376420660061,0.0010000000149011613,46359.57245475573,5458.427545244267,True,False,0.0026267584538391584,0.0011392491843032055,0.016209848190270847
2020-09-16,51876,1959.32,73.545,144098.1894,46328.60912759014,5547.390872409858,0.0010000000149011613,46408.6426264145,5467.3573735855025,True,False,0.0010579092460132283,0.0011186762213553003,0.015768339708018567
2020-09-17,51498,1942.6,73.61,142994.786,45973.8569614352,5524.143038564798,0.0008500000089406968,46052.70984290574,5445.290157094263,True,False,-0.00768676998433378,-0.007313283509357145,0.015712175213880797
2020-09-18,51764,1949.69,73.54,143380.20260000002,46097.77118330735,5666.228816692652,0.0008299999684095383,46176.76069124748,5587.23930875252,True,False,0.0026916933953367124,0.0051519549952856614,0.015487823961994213
2020-09-21,50512,1912.57,73.58,140726.9006,45244.715417879015,5267.284582120985,0.0007999999821186065,45322.1314433975,5189.8685566025015,True,False,-0.01867872441948409,-0.02448399514378783,0.015668018807257933
2020-09-22,50454,1899.28,73.52,139635.0656,44893.68257591589,5560.317424084111,0.0008799999952316285,44970.79366370745,5483.206336292547,True,False,-0.007788791999853183,-0.0011489017368199379,0.015687143584275576
2020-09-23,49576,1863.55,73.58,137120.009,44085.073705531526,5490.926294468474,0.0008799999952316285,44160.79589613276,5415.20410386724,True,False,-0.01817582454730025,-0.017555184419009603,0.011381155141652258
2020-09-24,49959,1868.04,73.91,138066.8364,44389.48555628788,5569.51444371212,0.0009300000220537186,44465.91335255446,5493.08664744554,True,False,0.00688136916501005,0.007695823384437233,0.011408274080536502
2020-09-25,49539,1860.05,73.685,137057.78425,44065.06799877827,5473.932001221729,0.0009000000357627869,44140.8283871739,5398.171612826103,True,False,-0.007335269900957434,-0.0084424308952827,0.010805001510241686
2020-09-28,49928,1880.85,73.765,138740.90025,44606.20195476393,5321.798045236072,0.0008799999952316285,44682.81925496347,5245.18074503653,True,False,0.0122055469425904,0.00782172948278088,0.0111116776672633
